protein	n_obs	status	singular	messages	var_Run	var_BioReplicate	var_Mixture	sigma2	scope	level	var_Run:Channel	var_Run:ionID
O55201	33	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.918161588396763	9.93725566500916e-10	0	0.252213944279684	fraction_run	psm	0.0952331800846221	9.4359547539328e-09
Q9JIG8	10	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8C0D5	49	ok	TRUE	boundary (singular) fit: see help('isSingular')	3.96963175383757e-10	0.0307074895100317	2.42880113179224	0.15810213127483	fraction_run	psm	0	0.692617439235172
Q60736	14	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8R5L3	9	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9CZ69	25	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9CQV8	405	ok	FALSE		1.53378132019464e-08	0.145114759721132	0.0744741759363271	0.284963358199057	fraction_run	psm	0.0629087800297127	5.54695260643215
Q9D1K2	20	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q61508	96	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0577018116034337	0	0.132300527588654	fraction_run	psm	0	3.52284871975835
Q91W89	45	ok	TRUE	boundary (singular) fit: see help('isSingular')	2.50970837701482	0	8.9804706334026e-08	0.031774814366626	fraction_run	psm	0.159355009691212	0.0304075875240641
Q9QWV4	37	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q8C2Q3	53	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.170835053889711	0.214553306647046	0	0.114121392381799	fraction_run	psm	0.0193846523539945	0.260163295485706
P19253	73	ok	FALSE		4.64114965588023e-09	0.0558413154075671	8.82502477149272e-10	0.0704190155733177	fraction_run	psm	3.04264137951776e-09	1.8214267002443
Q91VH6	41	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9D8U8	73	ok	TRUE	boundary (singular) fit: see help('isSingular')	0.757074794813154	0	0	0.204598416266884	fraction_run	psm	0.0979545851819275	1.01327055126028
Q61550	7	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P61957	41	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9JI75	159	ok	TRUE	boundary (singular) fit: see help('isSingular')	1.71799187813777e-06	0.08655606025245	0	0.13241485468273	fraction_run	psm	0	4.03919627520537
Q9ERG0	231	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.117356331422938	0	0.239595412179557	fraction_run	psm	0	1.98822339581507
Q3TPE9	14	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
O08756	64	ok	TRUE	boundary (singular) fit: see help('isSingular')	0	0.0130561073494391	0	0.151302824093159	fraction_run	psm	6.9823887438519e-09	3.0887028063898
P58801	5	error	NA	grouping factors must have > 1 sampled level	NA	NA	NA	NA	fraction_run	psm	NA	NA
P28667	8	error	NA	number of levels of each grouping factor must be < number of observations (problems: BioReplicate, Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9DC70	19	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
Q9Z108	42	ok	FALSE		6.44255663464441e-08	0.0107063791595819	3.01476694647559e-07	0.0693668010574738	fraction_run	psm	0.129619504484048	0.930893856223924
Q5SVR0	39	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
P70202	60	ok	FALSE		1.43201512563844	0.0798985132484354	9.27793335338844e-09	0.0719446149304015	fraction_run	psm	0.0768439895638737	0.131312867803287
P47809	24	error	NA	number of levels of each grouping factor must be < number of observations (problems: Run:Channel)	NA	NA	NA	NA	fraction_run	psm	NA	NA
